HIP,RAICRS,DEICRS,Vmag,Plx,pmRA,pmDE,BV
5268,16.82738598,-61.77526197,5.36,11.68,73.79,-11.24,0.884
5296,16.94216802,-9.78559168,5.71,20.97,149.04,16.99,0.446
5300,16.94927201,-41.48693516,5.21,16.48,36.00,7.85,0.159
5310,16.98795829,20.73932115,5.56,20.23,85.43,-85.81,0.121
5317,17.00299391,43.94224107,5.04,16.61,160.96,-61.32,0.109
5336,17.05383776,54.92422766,5.17,132.40,3421.44,-1599.27,0.704
5346,17.09309979,5.65022130,5.51,27.84,-248.40,-165.49,0.334
5348,17.09608370,-55.24583235,3.94,11.66,21.17,29.70,-0.120
5361,17.13936547,58.26347937,5.77,5.75,17.15,-12.39,-0.019
5364,17.14693197,-10.18192800,3.46,27.73,215.81,-138.33,1.161
5372,17.18399735,86.25711803,4.24,10.43,80.34,-11.36,1.213
5434,17.37550908,47.24182410,4.26,4.43,3.81,-13.02,0.012
5447,17.43248991,35.62083048,2.07,16.36,175.59,-112.23,1.576
5454,17.45502008,19.65838540,5.57,8.09,-4.65,9.34,0.697
5493,17.57852966,42.08157668,5.67,18.98,-135.76,-41.87,0.603
5494,17.58103932,25.45803989,5.81,9.06,2.92,-113.75,1.466
5510,17.63982219,2.44570842,5.97,3.63,-8.69,-15.94,1.491
5518,17.66360631,68.77868759,5.32,10.26,35.26,-27.48,-0.014
5542,17.77471116,55.14994765,4.34,23.73,226.62,-19.34,0.170
5544,17.77822190,31.42476555,5.15,5.82,-8.70,-12.02,0.261
5550,17.79287081,37.72413814,5.80,3.56,-15.54,-6.96,-0.095
5566,17.85631897,64.20272388,5.56,7.96,40.94,-19.30,-0.052
5571,17.86330901,21.03467568,4.66,7.42,41.66,-10.55,1.024
5586,17.91494471,30.08972962,4.51,20.11,74.29,-37.61,1.092
5589,17.92237013,65.01888517,5.57,8.99,23.85,-12.92,-0.072
5594,17.93142731,-2.25102487,5.93,7.40,-57.83,-22.21,1.403
5626,18.06878934,79.67397492,5.60,11.98,95.83,-4.91,0.008
5661,18.18902960,-37.85640391,5.95,13.62,88.99,-30.76,0.281
5737,18.43250986,7.57548895,5.21,22.09,141.66,-55.62,0.320
5742,18.43723014,24.58376482,4.67,8.64,18.58,-21.26,1.047
5778,18.53186747,16.13354221,5.97,6.52,-30.59,-26.18,-0.082
5799,18.59986241,-7.92350040,5.14,41.01,123.67,277.58,0.448
5833,18.70491873,-0.97429411,5.70,22.79,-14.55,205.45,0.428
5862,18.79403213,-45.53209717,4.97,66.43,664.47,178.12,0.571
5896,18.93956391,-68.87623708,4.25,48.94,411.11,127.43,0.480
5926,19.04959061,71.74384538,5.87,0.22,-1.59,-1.18,2.042
5951,19.15144476,-2.50021280,5.42,12.74,-100.62,-63.95,0.888
6061,19.44993370,3.61452038,5.13,14.83,-48.38,-22.37,0.071
6193,19.86657455,27.26408682,4.74,10.49,26.21,-11.62,0.032
6226,19.95121720,-0.50899490,5.87,8.27,5.35,-13.91,0.635
6242,20.02049027,58.23161610,4.95,1.40,-1.31,-2.19,0.683
6315,20.28064145,28.73838983,5.23,9.49,28.53,-75.19,1.396
6411,20.58497087,45.52875660,4.87,16.68,32.21,8.73,1.077
6492,20.85396862,20.46898990,5.97,3.94,-5.59,-9.30,1.677
6502,20.87903356,-30.94550599,5.84,3.67,-15.51,-45.83,1.612
6514,20.91898254,37.71499034,5.60,15.43,81.77,-19.64,0.276
6537,21.00604671,-8.18275372,3.60,28.48,-78.38,-206.88,1.065
6564,21.08535375,-6.91466853,5.92,22.33,31.05,5.12,0.407
6592,21.16988858,-41.49245885,5.42,13.22,16.95,-36.94,1.030
6631,21.27198122,-64.36943630,5.92,3.23,23.15,-17.10,1.561
6670,21.40503869,-14.59875437,4.90,11.31,42.54,-17.25,1.231
6686,21.45251267,60.23540347,2.66,32.81,297.24,-49.49,0.160
6692,21.48293404,68.12994739,4.72,16.89,75.07,26.82,1.047
6706,21.56366085,19.17232096,5.35,38.35,-26.80,10.16,0.395
6711,21.57749566,43.45788606,5.98,24.21,108.31,-60.45,0.520
6732,21.67352916,19.24056476,5.50,10.63,50.82,-58.73,1.106
6748,21.71481835,-13.05653391,5.51,27.55,14.53,9.01,0.321
6813,21.91285470,45.40695287,4.83,35.33,356.99,-109.32,0.421
6867,22.09142360,-43.31772906,3.41,13.94,-18.21,-207.71,1.542
6960,22.40041765,-21.62934677,5.11,14.72,55.64,3.22,0.028
6999,22.52542506,47.00737711,5.27,11.26,0.64,-42.53,0.999
7007,22.54559597,6.14393314,4.84,9.05,293.23,-46.36,1.372
7016,22.59531980,-26.20785462,5.92,7.35,43.67,1.40,1.327
7078,22.80632718,70.26478860,5.82,34.19,137.53,-76.00,0.489
7083,22.81242306,-49.07307701,3.93,22.15,138.22,154.20,0.972
7097,22.87080776,15.34583101,3.62,11.09,25.73,-3.29,0.974
7118,22.93021487,-30.28292502,5.79,10.74,-4.43,-64.34,1.073
