ra,dec,z
229.93213,-0.60772,0.03701
221.21718,0.36581,0.03703
233.67846,-0.91200,0.03704
147.83070,-0.17604,0.03704
157.81949,-0.67019,0.03711
230.01607,-0.96745,0.03716
220.12240,0.58410,0.03718
226.06272,-1.05189,0.03722
229.48538,-0.91874,0.03724
168.31000,-0.03666,0.03726
232.99457,-0.71250,0.03727
227.37021,1.00342,0.03727
229.69364,-0.33384,0.03732
232.07316,-0.12794,0.03733
229.16229,-0.04059,0.03733
139.68161,1.39475,0.03736
217.13184,1.12750,0.03740
163.60870,0.66374,0.03743
146.01225,0.76564,0.03745
233.41316,0.71966,0.03746
229.70372,-0.16238,0.03748
233.30893,0.49835,0.03748
162.51064,0.38254,0.03751
233.31380,0.22595,0.03751
202.57950,-0.87065,0.03756
228.80701,1.09270,0.03762
233.51568,0.09645,0.03769
233.36029,0.52054,0.03775
162.90092,0.17801,0.03783
229.17666,1.26215,0.03787
162.62766,0.99035,0.03790
232.06725,-0.10535,0.03790
232.07475,-0.13486,0.03795
232.68816,-0.36985,0.03795
162.47245,-0.39297,0.03807
232.98184,1.07406,0.03808
160.73398,-1.06954,0.03809
162.69805,0.48244,0.03810
220.84274,1.09811,0.03814
165.15011,-0.01242,0.03815
227.68990,1.37899,0.03815
139.05735,0.70064,0.03817
233.56596,-0.09349,0.03819
166.69781,-0.92415,0.03825
161.49685,0.01122,0.03825
213.49563,-1.42683,0.03825
216.08082,1.12438,0.03829
164.63958,-0.95359,0.03834
162.40637,-0.90711,0.03836
213.75718,-0.86024,0.03839
160.88998,-1.09074,0.03839
164.83127,0.79378,0.03845
213.68145,-0.28223,0.03847
168.39629,-0.21124,0.03850
168.79144,-1.08624,0.03856
139.84669,-0.21331,0.03856
164.13266,0.08465,0.03861
198.42827,-0.06986,0.03864
139.88435,-0.41005,0.03866
213.49001,-0.23281,0.03867
163.60870,0.33594,0.03867
161.07380,-0.89274,0.03869
227.71441,0.17392,0.03874
215.68321,-1.02870,0.03877
229.52529,1.16138,0.03877
229.36747,1.02205,0.03877
158.75383,-0.66930,0.03878
162.09566,-1.05564,0.03884
198.74505,-0.54311,0.03892
164.77444,1.18207,0.03894
162.04053,0.45392,0.03896
162.47744,0.15904,0.03896
160.29862,-1.24263,0.03897
162.19973,0.16837,0.03899
162.49522,0.32231,0.03900
235.64047,-0.50478,0.03902
234.23808,-0.08779,0.03904
167.24606,-0.76204,0.03905
167.28776,-0.76815,0.03906
230.72955,0.90414,0.03906
234.59301,-0.46210,0.03910
165.67030,1.06186,0.03914
162.71656,0.58930,0.03916
229.76983,0.41375,0.03916
162.34459,0.39453,0.03917
168.38445,0.00053,0.03917
162.71575,1.16702,0.03926
164.30487,0.63860,0.03928
137.34977,-0.63914,0.03929
179.63288,1.13195,0.03930
163.24084,0.54163,0.03931
198.44860,-0.04557,0.03931
179.23754,1.11589,0.03933
158.17889,-0.85295,0.03934
137.29796,0.83543,0.03937
164.12500,0.98777,0.03943
179.22593,1.09930,0.03944
185.30393,-0.86425,0.03944
185.08172,-0.52423,0.03951
162.46552,0.16419,0.03952
168.27010,-0.09373,0.03956
229.41038,0.94748,0.03959
215.86745,1.10207,0.03963
165.01173,1.03845,0.03963
168.27163,0.00305,0.03964
165.00782,1.09600,0.03967
170.05057,-0.26640,0.03967
160.92550,-0.92176,0.03972
235.76409,1.32030,0.03975
162.29937,0.26782,0.03976
162.34250,-0.63637,0.03982
160.21361,-0.92203,0.03985
173.66328,1.49497,0.03988
173.54818,1.44288,0.03995
171.77902,0.44564,0.03997
163.95298,1.01323,0.04002
223.60815,-1.28404,0.04004
172.48326,1.00320,0.04006
169.83995,0.03593,0.04006
169.30085,-0.18932,0.04007
170.04440,-0.27544,0.04008
164.63169,0.90463,0.04010
168.31290,-0.18293,0.04014
164.64436,1.03709,0.04016
164.96997,1.31502,0.04017
171.27940,-1.03738,0.04017
225.81217,0.83208,0.04018
171.00985,-0.94941,0.04018
162.84458,0.26246,0.04019
225.49433,-0.11428,0.04020
171.32464,0.35050,0.04020
171.41862,-0.86078,0.04026
162.31969,0.32653,0.04027
223.49589,-1.40265,0.04027
169.38707,-0.18750,0.04034
150.45315,-1.14091,0.04036
170.20179,0.58060,0.04037
228.15945,1.28494,0.04037
162.29690,0.37912,0.04038
223.54254,-1.36340,0.04041
222.50902,0.57878,0.04042
237.79684,0.64232,0.04047
162.54787,0.30691,0.04049
172.09265,-1.25910,0.04052
135.59545,0.03925,0.04056
222.51580,-0.19138,0.04061
162.32081,0.32935,0.04061
198.07127,-0.29495,0.04062
181.62543,0.18184,0.04069
238.53215,-0.09596,0.04070
225.15657,-0.45312,0.04076
226.60108,-1.37626,0.04078
225.25076,-0.20833,0.04078
172.27450,-1.46111,0.04079
133.51835,0.85319,0.04081
164.61110,1.38292,0.04084
198.05200,-1.09515,0.04086
132.79081,0.25360,0.04088
225.43850,0.00845,0.04094
168.36649,-0.90265,0.04098
239.02338,-0.35000,0.04098
222.36210,-0.16421,0.04099
195.81666,1.46863,0.04103
224.79112,0.75956,0.04107
169.38860,-0.18772,0.04109
164.66171,1.38188,0.04113
181.69676,1.28605,0.04113
167.86325,-0.28914,0.04115
153.37081,-0.89238,0.04117
222.41492,-0.05467,0.04118
197.68136,-0.10771,0.04126
164.71856,1.15786,0.04127
197.88461,-0.62038,0.04128
212.33464,-1.26707,0.04131
221.38405,-1.15580,0.04136
171.38799,-1.11751,0.04137
225.27108,-1.03014,0.04138
132.64243,0.21459,0.04143
133.94860,0.79428,0.04148
221.07474,-1.08308,0.04159
225.55681,0.11212,0.04160
153.65334,-0.85193,0.04162
133.78093,0.81156,0.04167
241.79515,-1.05693,0.04170
130.28389,0.57605,0.04182
164.75428,1.41243,0.04183
166.69301,0.25667,0.04196
186.54187,-1.15642,0.04202
238.28094,-1.02997,0.04205
225.18212,0.49017,0.04209
132.68863,1.31600,0.04210
175.15948,0.15131,0.04211
132.68365,1.29939,0.04218
164.64563,0.29238,0.04228
187.20290,-1.42427,0.04236
189.49884,0.95281,0.04244
242.54412,0.75345,0.04258
243.18563,0.27828,0.04262
153.49540,-0.95159,0.04265
222.81599,-0.16329,0.04266
224.49524,1.47454,0.04271
210.86401,0.73492,0.04273
238.73869,-0.23542,0.04278
238.73671,-0.20939,0.04280
223.36430,0.32448,0.04283
242.44479,0.68689,0.04283
243.11277,0.30500,0.04290
187.21182,-0.63950,0.04291
210.86605,0.73322,0.04299
201.59344,-0.81655,0.04305
222.67429,0.93240,0.04306
223.42668,-0.01269,0.04310
239.96961,-0.01381,0.04323
222.48811,-0.17591,0.04330
242.55036,0.78371,0.04330
165.43317,-0.82419,0.04335
222.81485,-0.37214,0.04340
222.42374,-1.05779,0.04340
222.75374,0.07609,0.04340
222.29648,-0.70191,0.04342
154.95569,-1.02265,0.04346
187.57338,-0.89921,0.04347
222.80149,-0.06087,0.04349
223.63204,0.79251,0.04352
245.73686,-0.81209,0.04352
165.19460,-0.39698,0.04367
153.16942,-1.20842,0.04373
243.20074,0.37947,0.04374
167.84057,1.43249,0.04378
168.05399,1.39466,0.04390
150.90341,0.37419,0.04391
223.75110,0.79570,0.04392
